study_id,site_id,missing_pages_pct,missing_visits_pct,unresolved_edrr_pct,uncoded_terms_pct,pending_sae_pct,file_count,row_count
Study_0084,STUDY_24_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,3432
Study_0268,Site_268,50.0,0.0,0.0,0.0,0.0,1,4
Study_0342,STUDY_23_CPID_Input_Files_-_Anonymization,0.14,0.1,0.0,0.0,0.0,1,2933
Study_0407,STUDY_15_CPID_Input_Files_-_Anonymization,4.74,0.0,0.0,0.0,0.0,1,253
Study_0547,Site_547,0.0,0.0,0.0,0.0,0.0,1,14
Study_0593,Site_593,0.0,0.0,0.0,0.0,0.0,1,128
Study_0809,STUDY_19_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,259
Study_0838,Site_838,0.0,0.0,0.0,0.0,0.0,1,596
Study_0845,STUDY_22_CPID_Input_Files_-_Anonymization,100.0,0.0,0.0,0.0,0.0,1,165
Study_0901,Site_901,0.0,0.0,0.0,0.0,0.0,1,654
Study_0939,Site_939,1.31,0.0,0.0,0.0,0.0,1,913
Study_1005,STUDY_22_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,267
Study_1008,STUDY_21_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,117
Study_1058,Site_058,97.14,27.14,0.0,0.0,0.0,1,210
Study_1123,Site_123,0.0,0.0,20.0,0.0,0.0,1,5
Study_1175,Site_175,91.84,73.47,0.0,0.0,0.0,1,98
Study_1397,Site_397,0.0,0.0,0.0,0.0,0.0,1,3
Study_1403,Site_403,0.0,0.0,0.0,0.0,0.0,1,10
Study_1457,Site_457,0.0,0.0,0.0,0.0,0.0,1,1513
Study_1478,Site_478,0.0,0.0,0.0,0.0,0.0,1,14693
Study_1586,STUDY_19_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,282
Study_1612,Site_612,0.0,0.0,0.0,0.0,0.0,1,8
Study_1729,STUDY_24_CPID_Input_Files_-_Anonymization,100.0,0.0,0.0,0.0,0.0,1,133
Study_1817,Site_817,0.0,0.0,0.0,0.0,0.0,1,208
Study_1819,STUDY_23_CPID_Input_Files_-_Anonymization,33.33,16.67,0.0,0.0,0.0,1,18
Study_1823,Site_823,138.89,122.22,0.0,0.0,0.0,1,72
Study_2056,Site_056,0.0,0.0,0.0,0.0,0.0,1,531
Study_2078,Site_078,0.0,0.0,0.0,0.0,0.0,1,8681
Study_2080,Site_080,0.0,0.0,0.0,0.0,0.0,1,259
Study_2166,Site_166,0.0,0.0,0.0,0.0,0.0,1,12
Study_2193,Site_193,0.26,0.19,0.0,0.0,0.0,1,1558
Study_2205,STUDY_2_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,1
Study_2207,STUDY_21_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,431523
Study_2263,Site_263,0.0,0.0,0.0,0.0,0.0,1,4
Study_2273,Site_273,0.0,0.0,0.0,0.0,0.0,1,3771
Study_2374,STUDY_24_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,78
Study_2420,Site_420,66.67,44.44,0.0,0.0,0.0,1,18
Study_2435,Site_435,0.0,0.0,0.0,0.0,0.0,1,327
Study_2498,STUDY_24_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,27
Study_2511,Site_511,0.0,0.0,0.0,0.0,0.0,1,44
Study_2563,Site_563,0.0,0.0,0.0,0.0,0.0,1,12
Study_2639,STUDY_19_CPID_Input_Files_-_Anonymization,92.79,71.17,0.0,0.0,0.0,1,222
Study_2693,STUDY_24_CPID_Input_Files_-_Anonymization,124.93,124.93,0.0,0.0,0.0,1,1019
Study_2745,STUDY_2_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,2138
Study_2758,Site_758,0.0,0.0,0.0,0.0,0.0,1,1922
Study_2811,STUDY_19_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,384
Study_2892,STUDY_19_CPID_Input_Files_-_Anonymization,21.15,13.46,0.0,0.0,0.0,1,52
Study_2986,Site_986,0.0,0.0,0.0,0.0,0.0,1,70
Study_3047,Site_047,1.97,0.0,0.0,0.0,0.0,1,608
Study_3053,Site_053,0.0,99.93,0.0,0.0,0.0,1,1494
Study_3068,Site_068,0.12,0.0,0.0,0.0,0.0,1,10078
Study_3074,Site_074,16.22,13.51,0.0,0.0,0.0,1,37
Study_3099,STUDY_22_CPID_Input_Files_-_Anonymization,0.02,0.01,0.0,0.0,0.0,1,21562
Study_3127,STUDY_22_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,138
Study_3322,Site_322,8.77,7.02,0.0,0.0,0.0,1,57
Study_3458,Site_458,0.0,0.0,0.0,0.0,0.0,1,28
Study_3551,Site_551,0.0,0.0,0.0,0.0,0.0,1,579
Study_3640,Site_640,0.24,0.0,0.0,0.0,0.0,1,5073
Study_3657,STUDY_24_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,18103
Study_3671,Site_671,0.0,0.0,0.0,0.0,0.0,1,274
Study_3762,Site_762,2.17,1.63,0.0,0.0,0.0,1,184
Study_3834,Site_834,0.0,0.0,0.0,0.0,0.0,1,15
Study_4039,Site_039,0.0,0.0,0.0,0.0,0.0,1,109
Study_4047,STUDY_23_CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,4206
Study_4078,Site_078,0.0,0.0,0.0,0.0,0.0,1,5042
Study_4122,STUDY_20__CPID_Input_Files_-_Anonymization,0.0,0.0,0.0,0.0,0.0,1,96
Study_4137,Site_137,4.71,4.71,0.0,0.0,0.0,1,85
Study_4242,Site_242,0.0,0.0,0.0,0.0,0.0,1,374
Study_4326,Site_326,0.0,39.38,0.0,0.0,0.0,1,193
Study_4350,Site_350,0.0,0.0,0.0,0.0,0.0,1,12
Study_4359,Site_359,0.0,0.0,0.0,0.0,0.0,1,1573
